estimated_net,team,efficiency,efficiency_rank,value,value_rank
56,Bradley,14.266672106244915,52,1.5691003773720635,65
57,Princeton,13.122713763990404,65,3.6729665603721338,18
58,Oregon,13.701007674971613,59,1.9690700771062657,48
59,Providence,14.10068380829365,55,1.5027931309273082,70
60,UCF,14.237218575029924,53,1.0987059747660124,90
61,Virginia Tech,13.790337707551544,56,1.297146908770263,79
62,Iowa,13.592744104987393,60,1.3081891706047515,78
63,NC State,13.005267856661616,66,1.7245168906039836,59
64,San Francisco,13.140284398545479,64,1.2559753113454775,81
65,SMU,13.78044807220874,57,0.9040394204564413,111
66,App State,10.870141703361671,74,2.25409222943906,44
67,Seton Hall,12.41999250876072,69,1.4878393772062404,71
68,Butler,12.863208626816165,67,1.271799021525533,80
69,Xavier,13.56610808481534,61,0.9681505964981653,108
70,Kansas St.,11.930460630938285,70,1.3229068152404575,76
71,Samford,9.651574721060477,86,3.594499199625865,19
72,Richmond,10.492648367734146,79,1.9234728557860452,50
73,VCU,11.762563005967769,71,1.2223681993400628,82
74,Memphis,10.72215384377531,75,1.5330603243237853,68
75,UC Irvine,10.64733258551572,78,1.7157463884242896,61
76,Washington,12.845869107608126,68,0.9478830940453863,109
77,South Fla.,9.963496716239394,82,1.731532470863584,57
78,UNLV,10.657374918449925,76,1.1956770035645998,84
79,Duquesne,9.699406119462939,85,1.9490013254171523,49
80,Boston College,10.647957068697911,77,1.0946630473111534,93
81,Maryland,11.183099004768875,73,0.8629219609455904,115
82,Yale,9.569951501327083,87,1.7179737870793454,60
83,North Texas,11.615304023729363,72,0.7056107120258478,134
84,Syracuse,8.854330538673944,93,1.7587335400835955,56
85,Loyola Chicago,8.904202993202176,92,1.6632953349646693,64
86,St. Bonaventure,9.886881834045152,84,0.9969894809524793,104
87,Ole Miss,8.60735554087934,95,1.6773628997600767,63
88,Saint Joseph's,9.268642640394278,90,1.1708518946008368,86
89,George Mason,9.367834277848463,89,1.0966605589106366,91
90,Massachusetts,9.565907732824744,88,1.0390639326575692,97
91,Southern California,10.375068956191926,81,0.7626987928488606,130
92,Penn St.,10.485989603003404,80,0.675620154187272,137
93,Col. of Charleston,7.816468507275417,101,1.7892194079087247,54
94,Cornell,7.911311590830371,100,1.7291076624644037,58
95,Vermont,6.518459592187541,105,2.4003433706709805,40
96,Minnesota,9.93392186678182,83,0.7992374391017742,128
97,LSU,9.026165107122518,91,1.017016181606915,101
98,Florida St.,8.784391646731759,94,1.0961134065217157,92
99,Indiana,8.01976379458138,99,1.4077931265390846,73
100,Louisiana Tech,8.602064952180376,96,1.0158109080348166,102
101,Georgia,8.152158276440675,98,1.0325854204588154,99
