season,team,conference,state,score,todisplay,bgcolor,fgcolor
1924,Toledo,Ind,Ohio,5,5-5,#FFFFFF,#000000
1924,Western Ky.,Ind,Kentucky,9,9-9,#FFFFFF,#000000
1924,Niagara,Ind,New York,9,9-10,#FFFFFF,#000000
1924,Seton Hall,Ind,New Jersey,6,6-7,#FFFFFF,#000000
1924,Wichita St.,Ind,Kansas,10,10-12,#FFFFFF,#000000
1924,Loyola Maryland,Ind,Maryland,8,8-10,#FFFFFF,#000000
1924,Syracuse,Ind,New York,8,8-10,#FFFFFF,#000000
1924,Loyola Chicago,Ind,Illinois,8,8-11,#FFFFFF,#000000
1924,Brown,Ind,Rhode Island,7,7-12,#FFFFFF,#000000
1924,Holy Cross,Ind,Massachusetts,5,5-9,#FFFFFF,#000000
1924,UConn,Ind,Connecticut,4,4-8,#FFFFFF,#000000
1924,William & Mary,Ind,Virginia,8,8-16,#FFFFFF,#000000
1924,Kent St.,Ind,Ohio,4,4-9,#FFFFFF,#000000
1924,Lafayette,Ind,Pennsylvania,6,6-14,#FFFFFF,#000000
1924,Arizona St.,Ind,Arizona,3,3-9,#FFFFFF,#000000
1924,Louisville,Ind,Kentucky,4,4-13,#FFFFFF,#000000
1924,UTEP,Ind,Texas,3,3-10,#FFFFFF,#000000
1924,The Citadel,Ind,South Carolina,2,2-8,#FFFFFF,#000000
1924,Miami (OH),Ind,Ohio,2,2-9,#FFFFFF,#000000
1924,Bowling Green,Ind,Ohio,3,3-15,#FFFFFF,#000000
1924,Bucknell,Ind,Pennsylvania,1,1-5,#FFFFFF,#000000
1924,George Washington,Ind,D.C.,1,1-9,#FFFFFF,#000000
1924,Santa Clara,Ind,California,1,1-9,#FFFFFF,#000000
1924,Cornell,Ivy,New York,13,8-2 Ivy,#FFFFFF,#000000
1924,Columbia,Ivy,New York,15,6-4 Ivy,#FFFFFF,#000000
1924,Princeton,Ivy,New Jersey,11,6-4 Ivy,#FFFFFF,#000000
1924,Dartmouth,Ivy,New Hampshire,12,4-6 Ivy,#FFFFFF,#000000
1924,Penn,Ivy,Pennsylvania,18,3-7 Ivy,#FFFFFF,#000000
1924,Yale,Ivy,Connecticut,12,3-7 Ivy,#FFFFFF,#000000
1924,Colorado St.,MSAC,Colorado,6,6-4 MSAC,#FFFFFF,#000000
1924,Colorado,MSAC,Colorado,4,3-5 MSAC,#FFFFFF,#000000
1924,Denver,MSAC,Colorado,3,3-7 MSAC,#FFFFFF,#000000
1924,Wyoming,MSAC,Wyoming,2,1-7 MSAC,#FFFFFF,#000000
1924,BYU,MSAC,Utah,14,7-1 MSAC,#FFFFFF,#000000
1924,Utah St.,MSAC,Utah,6,3-5 MSAC,#FFFFFF,#000000
1924,Utah,MSAC,Utah,2,2-6 MSAC,#FFFFFF,#000000
1924,Kansas,MVC,Kansas,16,15-1 MVC,#FFFFFF,#000000
1924,Oklahoma,MVC,Oklahoma,15,13-3 MVC,#FFFFFF,#000000
1924,Nebraska,MVC,Nebraska,11,10-6 MVC,#FFFFFF,#000000
1924,Drake,MVC,Iowa,9,8-8 MVC,#FFFFFF,#000000
1924,Kansas St.,MVC,Kansas,8,8-8 MVC,#FFFFFF,#000000
1924,Missouri,MVC,Missouri,4,4-12 MVC,#FFFFFF,#000000
