team,state,bgcolor,fgcolor,yearchecked
Ga. Southern,Georgia,#001344,#D9AC63,25
Gardner-Webb,North Carolina,#BB0000,#FFFFFF,25
George Mason,Virginia,#005239,#FFC733,25
George Washington,D.C.,#033C5A,#FFFFFF,23
Georgetown,D.C.,#041E42,#FFFFFF,25
Georgia,Georgia,#BA0C2F,#FFFFFF,25
Georgia St.,Georgia,#0039A6,#FFFFFF,25
Georgia Tech,Georgia,#B3A369,#003057,25
Gonzaga,Washington,#041E42,#FFFFFF,25
Grambling,Louisiana,#EAA921,#000000,23
Grand Canyon,Arizona,#552B9A,#FFFFFF,23
Green Bay,Wisconsin,#0F5640,#FFFFFF,25
Hampton,Virginia,#004AAD,#FFFFFF,25
Hartford,Connecticut,#DA1A32,#FFFFFF,25
Harvard,Massachusetts,#A41034,#FFFFFF,25
Hawaii,Hawaii,#024731,#FFFFFF,24
High Point,North Carolina,#330072,#FFFFFF,25
Hofstra,New York,#13579A,#FDC82F,24
Holy Cross,Massachusetts,#602D89,#FFFFFF,25
Houston,Texas,#C8102E,#FFFFFF,23
Houston Christian,Texas,#273A80,#FFFFFF,23
Howard,D.C.,#003A63,#FFFFFF,23
Idaho,Idaho,#F1B300,#191919,24
Idaho St.,Idaho,#F47920,#FFFFFF,24
Illinois,Illinois,#FF5F05,#13294B,23
Illinois St.,Illinois,#CC0000,#FFFFFF,24
Indiana,Indiana,#990000,#EDEBEB,24
Indiana St.,Indiana,#283A97,#FFFFFF,24
Iona,New York,#6F2C3E,#F0AB00,23
Iowa,Iowa,#FFCD00,#000000,23
Iowa St.,Iowa,#C8102E,#F1BE48,23
IU Indy,Indiana,#990000,#EDEBEB,24
IUPUI,Indiana,#990000,#EDEBEB,99
Jackson St.,Mississippi,#002147,#FFFFFF,23
Jacksonville,Florida,#004D40,#FFFFFF,23
Jacksonville St.,Alabama,#CA2026,#FFFFFF,25
James Madison,Virginia,#450084,#CBB677,24
Kansas,Kansas,#0051BA,#FFFFFF,23
Kansas City,Missouri,#0066CC,#FFDD00,23
Kansas St.,Kansas,#512888,#FFFFFF,23
Kennesaw St.,Georgia,#FFC629,#231F20,23
Kent St.,Ohio,#002664,#EAAB00,23
Kentucky,Kentucky,#0033A0,#FFFFFF,23
La Salle,Pennsylvania,#003356,#FFCE00,25
Lafayette,Pennsylvania,#822433,#FFFFFF,25
Lamar University,Texas,#DC0031,#FFFFFF,25
Le Moyne,New York,#006633,#FFFFFF,23
Lehigh,Pennsylvania,#502D0E,#FFFFFF,25
Liberty,Virginia,#0A254E,#FFFFFF,25
Lindenwood,Missouri,#B5A36A,#000000,23
Lipscomb,Tennessee,#331E54,#F4AA00,25
Little Rock,Arkansas,#6E2639,#FFFFFF,25
LIU,New York,#69B3E7,#FFC72C,24
LMU (CA),California,#AB0C2F,#FFFFFF,25
Long Beach St.,California,#FFDA27,#000000,23
Longwood,Virginia,#002147,#FFFFFF,24
Louisiana,Louisiana,#A00B0B,#FFFFFF,23
Louisiana Tech,Louisiana,#003087,#FFFFFF,25
Louisville,Kentucky,#AD0000,#FFFFFF,23
Loyola Chicago,Illinois,#8D0034,#FEBC18,23
Loyola Maryland,Maryland,#0D4B34,#FFFFFF,25
LSU,Louisiana,#461D7C,#FDD023,25
Maine,Maine,#79BDE8,#003263,24
Manhattan,New York,#00703C,#FFFFFF,25
Marist,New York,#C91235,#FFFFFF,25
Marquette,Wisconsin,#FFCC00,#003366,23
Marshall,West Virginia,#00AC3E,#FFFFFF,25
