estimated_net,team,efficiency,value,combine,efficiency_rank,value_rank
305,Grambling,-12.495226208462318,-1.4454525004698595,-4.760384612867597,301,310
306,Evansville,-12.695766222934099,-1.458624469287112,-4.829766995381208,303,312
307,Georgia St.,-13.078577220912187,-1.4255810599723469,-4.921479908254299,307,309
308,Tennessee Tech,-13.534348016898806,-1.446001823077497,-5.072505681223889,309,311
309,Little Rock,-13.90895474507159,-1.4613774289925399,-5.195650623816255,310,313
310,Alabama A&M,-14.91448770947109,-1.1125867117825967,-5.253157011089145,315,277
311,Florida A&M,-15.106266143284904,-1.1232376118118295,-5.318146171253751,317,279
312,Oral Roberts,-13.37696307966429,-1.8686084856459169,-5.321114863851428,308,336
313,Louisiana,-14.998104718895737,-1.1835924604173524,-5.3279461379608675,316,286
314,Stetson,-14.585516605267285,-1.3628143015099436,-5.329624992637146,313,300
315,Northern Ariz.,-14.17320041526389,-1.6915822365382764,-5.43606769015596,311,325
316,Ark.-Pine Bluff,-15.524836129802802,-1.308802300869465,-5.573612449549466,320,295
317,Cleveland St.,-15.535891837095503,-1.3079048108190183,-5.576300918701964,321,294
318,IU Indy,-14.174401994407834,-2.0313087171213096,-5.674236700307267,312,341
319,Norfolk St.,-14.827724810413882,-1.7735314878154824,-5.689789484595002,314,330
320,Eastern Ill.,-15.68547164281323,-1.5006764271304376,-5.756114991835275,323,316
321,UMass Lowell,-15.874809626432077,-1.5030971351005187,-5.814610882499986,325,317
322,Texas Southern,-15.86523224843332,-1.566629967138096,-5.856210651526664,324,320
323,Lafayette,-15.640923883545101,-1.744410057770856,-5.913364205503129,322,327
324,Alabama St.,-15.494114158130197,-1.8629128225026965,-5.9522732231909465,318,335
325,New Haven,-16.35293279138671,-1.6073715559924673,-6.03103992661074,326,323
326,UAlbany,-15.502602335095174,-2.039109458614716,-6.0781573215588525,319,343
327,NJIT,-17.731272233473504,-1.1858052243392996,-6.149445327079561,333,287
328,Loyola Maryland,-16.400659778873205,-1.7725845437063372,-6.161007114256397,327,329
329,Manhattan,-17.65923567661034,-1.3682858404965503,-6.255570791330687,332,301
330,CSU Bakersfield,-16.656694061326387,-1.8594898976031635,-6.298651146720131,328,334
331,Holy Cross,-17.051322794715013,-1.8309142916096703,-6.397036842541273,329,332
332,Stonehill,-17.38986935822758,-2.036700198800771,-6.642650946628812,330,342
333,Bucknell,-18.24834065544033,-1.703305839023566,-6.666816283948595,334,326
334,FDU,-17.455809333616237,-2.1681777563115276,-6.75446722950294,331,345
335,NIU,-19.212072006456367,-1.4226030354786763,-6.759443726771983,338,308
336,Army West Point,-18.320481706567154,-1.901292734698666,-6.8270494262592125,335,338
337,North Florida,-18.61512074497511,-2.188539135689554,-7.11651361847522,336,346
338,North Ala.,-20.169778776133334,-1.838419205076103,-7.337827076393273,342,333
