Game
"NET +5 (Strength +5, Resume +10) Home win: American vs. Bucknell 68-58 (2025-01-11)"
"NET +5 (Strength +2, Resume +12) Neutral win: American vs. Kansas City 64-60 (2024-11-22)"
"NET +1 (Strength +5, Resume -8) Away loss: American vs. Virginia 58-63 (2024-12-22)"
"NET -6 (Strength -14, Resume -10) Away loss: American vs. La Salle 52-65 (2024-11-04)"
"NET -6 (Strength -14, Resume -11) Away loss: American vs. Siena 66-74 (2024-11-12)"
"NET -6 (Strength -14, Resume -13) Away loss: American vs. Boston U. 54-60 (2025-01-08)"
"NET -13 (Strength -14, Resume -23) Home loss: American vs. UMBC 93-96 (2024-12-29)"
"NET -13 (Strength -17, Resume -9) Away loss: American vs. Saint Joseph's 57-84 (2024-12-18)"
"NET -17 (Strength -25, Resume -1) Away loss: American vs. North Carolina 55-107 (2024-11-15)"
"NET -20 (Strength -23, Resume -18) Away loss: American vs. Navy 58-81 (2025-01-02)"
"NET +22 (Strength +21, Resume +15) Neutral win: App State vs. Colgate 72-50 (2024-11-29)"
"NET +19 (Strength +13, Resume +16) Home win: App State vs. James Madison 86-66 (2025-01-11)"
"NET +17 (Strength +11, Resume +16) Away win: App State vs. Old Dominion 62-43 (2025-01-16)"
"NET +16 (Strength +10, Resume +24) Away win: App State vs. James Madison 58-50 (2025-01-18)"
"NET +15 (Strength +12, Resume +2) Home win: App State vs. Coastal Carolina 74-51 (2025-01-08)"
"NET +12 (Strength +8, Resume +16) Home win: App State vs. Texas St. 72-61 (2025-01-04)"
"NET +10 (Strength +5, Resume +16) Home win: App State vs. Queens (NC) 65-53 (2024-11-19)"
"NET +4 (Strength +5, Resume -9) Away loss: App State vs. North Texas 64-68 (2024-12-20)"
"NET +3 (Strength +0, Resume +16) Neutral win: App State vs. Sam Houston 66-63 (2024-11-27)"
"NET +1 (Strength -2, Resume +17) Home win: App State vs. William & Mary 79-76 (2024-11-24)"
"NET -8 (Strength -4, Resume -26) Neutral loss: App State vs. High Point 59-65 (2024-12-14)"
"NET -13 (Strength -11, Resume -5) Away loss: App State vs. Wisconsin 56-87 (2024-11-10)"
"NET -15 (Strength -11, Resume -34) Home loss: App State vs. Troy 61-69 (2025-01-02)"
