season,coachid,coach,team,todisplay,score,bgcolor,fgcolor,isseason,conference,state,bordercolor,firstseason,nextyear,w,l,confw,confl,tourneyscore
1963,john-arndt-1,John Arndt,LMU (CA),3-10 WCAC,9,#FFFFFF,#000000,4,WCAC,California,black,1962.0,Return,9,17,3,10,0.0
1964,john-arndt-1,John Arndt,LMU (CA),7-4 WCAC,12,#FFFFFF,#000000,4,WCAC,California,black,1962.0,Return,12,13,7,4,0.0
1965,john-arndt-1,John Arndt,LMU (CA),4-11 WCAC,6,#FFFFFF,#000000,4,WCAC,California,black,1962.0,Return,6,20,4,11,0.0
1966,john-arndt-1,John Arndt,LMU (CA),7-7 WCAC,11,#FFFFFF,#000000,4,WCAC,California,black,1962.0,Return,11,15,7,7,0.0
1967,john-arndt-1,John Arndt,LMU (CA),9-5 WCAC,16,#FFFFFF,#000000,4,WCAC,California,black,1962.0,Return,16,10,9,5,0.0
1968,john-arndt-1,John Arndt,LMU (CA),10-2 WCAC,19,#FFFFFF,#000000,4,WCAC,California,black,1962.0,Unknown,19,6,10,2,0.0
1969,john-arndt-1,John Arndt,LMU (CA),?,0,#FFFFFF,#000000,0,WCAC,California,white,1962.0,Last,,,,,
1950,john-bach-1,John Bach,Fordham,3-2 MNY,15,#FFFFFF,#000000,4,Metro NY,New York,black,1950.0,Return,15,12,3,2,0.0
1951,john-bach-1,John Bach,Fordham,2-3 MNY,19,#FFFFFF,#000000,4,Metro NY,New York,black,1950.0,Return,19,8,2,3,0.0
1952,john-bach-1,John Bach,Fordham,2-4 MNY,20,#FFFFFF,#000000,4,Metro NY,New York,black,1950.0,Return,20,8,2,4,0.0
1953,john-bach-1,John Bach,Fordham,"3-2 MNY
NCAA 22",33,#7E072A,#FFFFFF,4,Metro NY,New York,black,1950.0,Return,18,8,3,2,0.15
1954,john-bach-1,John Bach,Fordham,"2-1 MNY
NCAA 24",33,#7E072A,#FFFFFF,4,Metro NY,New York,black,1950.0,Return,18,6,2,1,0.15
1955,john-bach-1,John Bach,Fordham,2-2 MNY,18,#FFFFFF,#000000,4,Metro NY,New York,black,1950.0,Return,18,9,2,2,0.0
1956,john-bach-1,John Bach,Fordham,1-3 MNY,11,#FFFFFF,#000000,4,Metro NY,New York,black,1950.0,Return,11,14,1,3,0.0
1957,john-bach-1,John Bach,Fordham,2-2 MNY,16,#FFFFFF,#000000,4,Metro NY,New York,black,1950.0,Return,16,10,2,2,0.0
1958,john-bach-1,John Bach,Fordham,0-3 MNY,15,#FFFFFF,#000000,4,Metro NY,New York,black,1950.0,Return,15,9,0,3,0.0
1959,john-bach-1,John Bach,Fordham,1-2 MNY,17,#FFFFFF,#000000,4,Metro NY,New York,black,1950.0,Return,17,8,1,2,0.0
1960,john-bach-1,John Bach,Fordham,0-3 MNY,8,#FFFFFF,#000000,4,Metro NY,New York,black,1950.0,Return,8,18,0,3,0.0
1961,john-bach-1,John Bach,Fordham,0-3 MNY,7,#FFFFFF,#000000,4,Metro NY,New York,black,1950.0,Return,7,16,0,3,0.0
1962,john-bach-1,John Bach,Fordham,1-2 MNY,10,#FFFFFF,#000000,4,Metro NY,New York,black,1950.0,Return,10,14,1,2,0.0
1963,john-bach-1,John Bach,Fordham,3-1 MNY,18,#FFFFFF,#000000,4,Metro NY,New York,black,1950.0,Return,18,8,3,1,0.0
1964,john-bach-1,John Bach,Fordham,9-11,9,#FFFFFF,#000000,4,Ind,New York,black,1950.0,Return,9,11,,,0.0
1965,john-bach-1,John Bach,Fordham,15-12,15,#FFFFFF,#000000,4,Ind,New York,black,1950.0,Return,15,12,,,0.0
1966,john-bach-1,John Bach,Fordham,10-15,10,#FFFFFF,#000000,4,Ind,New York,black,1950.0,Return,10,15,,,0.0
1967,john-bach-1,John Bach,Fordham,14-11,14,#FFFFFF,#000000,4,Ind,New York,black,1950.0,Return,14,11,,,0.0
1968,john-bach-1,John Bach,Fordham,19-8,19,#FFFFFF,#000000,4,Ind,New York,black,1950.0,Left,19,8,,,0.0
1969,john-bach-1,John Bach,Fordham,Penn St.,0,#FFFFFF,#000000,0,Ind,New York,white,1950.0,Last,,,,,
1969,john-bach-1,John Bach,Penn St.,13-9,13,#FFFFFF,#000000,4,Ind,Pennsylvania,black,1969.0,Return,13,9,,,0.0
1970,john-bach-1,John Bach,Penn St.,13-11,13,#FFFFFF,#000000,4,Ind,Pennsylvania,black,1969.0,Return,13,11,,,0.0
1971,john-bach-1,John Bach,Penn St.,10-12,10,#FFFFFF,#000000,4,Ind,Pennsylvania,black,1969.0,Return,10,12,,,0.0
1972,john-bach-1,John Bach,Penn St.,17-8,17,#FFFFFF,#000000,4,Ind,Pennsylvania,black,1969.0,Return,17,8,,,0.0
1973,john-bach-1,John Bach,Penn St.,15-8,15,#FFFFFF,#000000,4,Ind,Pennsylvania,black,1969.0,Return,15,8,,,0.0
1974,john-bach-1,John Bach,Penn St.,14-12,14,#FFFFFF,#000000,4,Ind,Pennsylvania,black,1969.0,Return,14,12,,,0.0
1975,john-bach-1,John Bach,Penn St.,11-12,11,#FFFFFF,#000000,4,Ind,Pennsylvania,black,1969.0,Return,11,12,,,0.0
1976,john-bach-1,John Bach,Penn St.,10-15,10,#FFFFFF,#000000,4,Ind,Pennsylvania,black,1969.0,Return,10,15,,,0.0
1977,john-bach-1,John Bach,Penn St.,5-5 ECBL,11,#FFFFFF,#000000,4,ECBL,Pennsylvania,black,1969.0,Return,11,15,5,5,0.0
1978,john-bach-1,John Bach,Penn St.,4-6 EAA,8,#FFFFFF,#000000,4,EAA,Pennsylvania,black,1969.0,Left,8,19,4,6,0.0
1979,john-bach-1,John Bach,Penn St.,Golden State Warriors (asst.),0,#FFFFFF,#000000,0,EAA,Pennsylvania,white,1969.0,Last,,,,,
